Name,Section/Column,Assignee,Start Date,Due Date,Tags,Description
"Create the Telegram bot (BotFather), a Cloudflare account, and an Anthropic API key","Week 1 · survey out, first interviews",t.aiusheev@gmail.com,2026-09-14,2026-09-15,founder,"20 minutes. Steps in bot/README.md. Hand the token, key, and your Telegram chat id to the co-founder through a secure channel."
"Decide repo visibility: public or private","Week 1 · survey out, first interviews",t.aiusheev@gmail.com,2026-09-14,2026-09-14,founder,"github.com/taiusheev/vela. Decide once; don't drift."
"Post the survey in three places today","Week 1 · survey out, first interviews",t.aiusheev@gmail.com,2026-09-14,2026-09-15,founder,"Own network, a Russian-speaking Telegram group, Taiwanese friends (ZH-TW). Materials: plan/materials/survey-*.md and recruitment-posts.md."
"Book 8 interviews from survey respondents who opted in","Week 1 · survey out, first interviews",t.aiusheev@gmail.com,2026-09-15,2026-09-19,founder,"Script: plan/materials/interview-script.md plus the wish/worry questions. 20–30 minutes each."
"Show your parent a mock of the morning arrival; write down her exact words","Week 1 · survey out, first interviews",t.aiusheev@gmail.com,2026-09-14,2026-09-20,founder,"Use design/wireframes/03-parent-surface.svg. Her words go into plan/decisions.md."
"Update survey intro and recruitment posts for the all-families framing","Week 1 · survey out, first interviews",,2026-09-14,2026-09-14,co-founder,"Materials in plan/materials/."
"Prototype changes for phase 0","Week 1 · survey out, first interviews",,2026-09-14,2026-09-18,co-founder,"Family content in the arrival; quiet notice to the child with nearby contacts; away mode by keyword; founder card only for AI flags."
"Landing page with waitlist and two price points","Week 1 · survey out, first interviews",,2026-09-15,2026-09-19,co-founder,"The flame, the promise, two questions (where does your parent live, which messenger), $9.99 vs $14.99 shown alternately. Free hosting."
"Weekly review template and decisions log in the repo","Week 1 · survey out, first interviews",,2026-09-14,2026-09-15,co-founder,"plan/weekly/ and plan/decisions.md."
"Interviews 9–16, each ending with the pilot offer","Week 2 · interviews, close pilot families",t.aiusheev@gmail.com,2026-09-21,2026-09-26,founder,"$15 for the month, refundable, starts Monday. Take payment on the spot (Wise, Revolut, PayPal)."
"10 families confirmed with three generations where possible","Week 2 · interviews, close pilot families",t.aiusheev@gmail.com,2026-09-22,2026-09-27,founder,"Eldest, organiser, one under-30 member. Collect parents' messengers, wake times, two nearby contacts each."
"Deploy the prototype; three-day test with the founder's own parent","Week 2 · interviews, close pilot families",,2026-09-21,2026-09-24,co-founder,"Needs the three accounts from week 1."
"Onboarding script: five minutes with the child, five with the parent, in Russian","Week 2 · interviews, close pilot families",,2026-09-21,2026-09-23,co-founder,""
"Interview synthesis","Week 2 · interviews, close pilot families",,2026-09-26,2026-09-27,co-founder,"Top objections, reasons to say yes, price points named, wish/worry clustering."
"Onboard 10–15 families; do the parent call yourself for the first five","Week 3 · pilot live",t.aiusheev@gmail.com,2026-09-28,2026-10-01,founder,""
"Daily 15-minute check on the loop","Week 3 · pilot live",t.aiusheev@gmail.com,2026-09-28,2026-10-11,founder,"Read every conversation; log every false quiet notice and every parent complaint."
"Write the weekly read by hand for each family on Sunday","Week 3 · pilot live",t.aiusheev@gmail.com,2026-10-04,2026-10-04,founder,"AI drafts, you edit; every edit is logged as a product lesson."
"Interview anyone who declined or dropped","Week 3 · pilot live",t.aiusheev@gmail.com,2026-09-28,2026-10-04,founder,"Their reasons matter more than the yeses."
"Daily metrics in the ops board","Week 3 · pilot live",,2026-09-28,2026-10-11,co-founder,"Answer rate, latency, family-content days, quiet notices and whether true, opt-outs."
"Day-14 check-in with every family","Week 4 · measure and decide",t.aiusheev@gmail.com,2026-10-05,2026-10-09,founder,"One question: If Vela stopped tomorrow, how would you feel? Record exact words."
"Ask each parent through the chat whether she likes receiving it","Week 4 · measure and decide",t.aiusheev@gmail.com,2026-10-05,2026-10-09,founder,"«Нравится ли вам получать это по утрам?»"
"Ask each paying family for two introductions","Week 4 · measure and decide",t.aiusheev@gmail.com,2026-10-05,2026-10-11,founder,""
"Phase-0 report","Week 4 · measure and decide",,2026-10-09,2026-10-11,co-founder,"The metrics, what the arrival must contain, what the weekly read must say, MVP scope cut to what was proven."
"Pitch deck v1 from phase-0 evidence","Week 4 · measure and decide",,2026-10-09,2026-10-12,co-founder,"Ten slides; outline in plan/execution-plan.md."
"Decision: build the MVP, or change one variable and rerun phase 0","Week 4 · measure and decide",t.aiusheev@gmail.com,2026-10-12,2026-10-12,founder,"Kill signals: fewer than 4 families paying after 20 interviews; more than 30% of parents refusing; family-content days under 30% by week two."
